Tool,Date,Rating,NPS_Rating,Multiple_Choice_Answer
Support Page,2024-01-12,3,5,Option D
Store,2024-03-14,4,0,Option E
Store,2024-10-14,4,10,Option D
Support Page,2024-07-19,3,3,Option E
Home Page,2024-01-19,2,0,Option A
Store,2024-06-21,4,1,Option A
Login Page,2024-08-08,3,2,Option C
Home Page,2024-10-20,2,3,Option E
Booking Page,2024-06-03,4,9,Option D
Home Page,2024-05-14,3,2,Option E
Booking Page,2024-07-30,3,5,Option E
Login Page,2024-03-05,4,6,Option D
Login Page,2024-02-05,3,8,Option D
Store,2024-10-08,3,8,Option D
Information Page,2024-09-15,4,3,Option B
Login Page,2024-07-29,2,7,Option E
Login Page,2024-04-02,4,8,Option A
Booking Page,2024-02-29,3,1,Option E
Store,2024-09-10,3,10,Option E
Booking Page,2024-04-16,5,1,Option A
Support Page,2024-02-02,3,5,Option D
Store,2024-03-04,5,10,Option A
Booking Page,2024-12-09,4,8,Option B
Information Page,2024-11-22,2,5,Option B
Information Page,2024-06-27,1,8,Option C
Login Page,2024-08-02,2,4,Option E
Information Page,2024-11-21,3,4,Option A
Store,2024-02-19,3,10,Option B
Booking Page,2024-10-02,1,1,Option E
Home Page,2024-03-27,3,9,Option A
Support Page,2024-11-29,5,9,Option B
Store,2024-03-29,5,0,Option C
Store,2024-10-26,2,10,Option B
Support Page,2024-07-16,4,3,Option A
Login Page,2024-04-10,2,4,Option C
Store,2024-11-22,4,3,Option D
Booking Page,2024-08-19,5,6,Option C
Home Page,2024-12-19,2,3,Option A
Home Page,2024-02-10,4,5,Option B
Booking Page,2024-09-07,3,0,Option D
Support Page,2024-08-31,3,1,Option B
Information Page,2024-01-06,1,9,Option A
Login Page,2024-09-12,1,0,Option A
Support Page,2024-08-20,3,2,Option C
Information Page,2024-04-13,1,10,Option D
Store,2024-07-30,3,3,Option E
Store,2024-04-22,5,6,Option C
Information Page,2024-09-11,2,10,Option C
Home Page,2024-03-03,3,7,Option B
Information Page,2024-10-04,2,10,Option B
Login Page,2024-11-16,2,0,Option B
Information Page,2024-02-22,5,7,Option A
Information Page,2024-05-07,5,2,Option D
Login Page,2024-07-23,5,10,Option C
Home Page,2024-12-07,1,7,Option B
Support Page,2024-08-20,4,6,Option A
Home Page,2024-07-21,1,0,Option E
Information Page,2024-08-10,1,9,Option B
Store,2024-10-29,2,10,Option A
Home Page,2024-03-20,2,4,Option E
Store,2024-08-30,3,2,Option E
Home Page,2024-06-29,4,7,Option C
Booking Page,2024-01-18,5,1,Option C
Store,2024-05-13,2,6,Option D
Home Page,2024-11-02,4,1,Option C
Home Page,2024-04-17,2,3,Option A
Support Page,2024-02-09,1,5,Option B
Booking Page,2024-12-12,3,6,Option B
Home Page,2024-05-20,5,0,Option A
Store,2024-08-04,3,1,Option E
Booking Page,2024-02-24,1,1,Option A
Store,2024-03-19,3,3,Option A
Information Page,2024-08-03,4,2,Option A
Home Page,2024-11-13,3,7,Option C
Support Page,2024-02-27,3,7,Option E
Home Page,2024-05-10,3,6,Option C
Store,2024-01-05,2,10,Option E
Information Page,2024-03-08,4,5,Option A
Login Page,2024-05-18,3,0,Option C
Home Page,2024-08-22,1,1,Option D
Booking Page,2024-02-17,4,10,Option D
Home Page,2024-07-10,1,2,Option A
Login Page,2024-08-23,4,4,Option B
Information Page,2024-12-02,3,2,Option B
Home Page,2024-11-22,3,1,Option E
Booking Page,2024-10-21,4,2,Option C
Login Page,2024-11-05,1,4,Option E
Login Page,2024-11-22,4,1,Option B
Store,2024-05-31,3,9,Option D
Login Page,2024-11-12,1,5,Option C
Store,2024-09-11,4,9,Option C
Support Page,2024-07-18,5,1,Option B
Support Page,2024-10-31,2,6,Option E
Support Page,2024-07-30,5,8,Option A
Login Page,2024-04-15,2,9,Option C
Store,2024-03-28,5,6,Option B
Support Page,2024-07-10,3,9,Option C
Information Page,2024-07-09,4,3,Option C
Support Page,2024-07-13,3,5,Option A
Login Page,2024-03-11,3,10,Option B
